>> Teclee la combinacion [PIN11, PIN15, PIN17]: 111

------------------------------------------------------------
   Ejecutando: [111] - Corrimientos de LEDs en Zig-Zag
------------------------------------------------------------

Paso: 0 | Posición: 0 | Decimal: 1 | Binario: 0b1
Paso: 1 | Posición: 1 | Decimal: 2 | Binario: 0b10
Paso: 2 | Posición: 2 | Decimal: 4 | Binario: 0b100
Paso: 3 | Posición: 3 | Decimal: 8 | Binario: 0b1000
Paso: 4 | Posición: 4 | Decimal: 16 | Binario: 0b10000
Paso: 5 | Posición: 5 | Decimal: 32 | Binario: 0b100000
Paso: 6 | Posición: 6 | Decimal: 64 | Binario: 0b1000000
Paso: 7 | Posición: 7 | Decimal: 128 | Binario: 0b10000000
Paso: 8 | Posición: 6 | Decimal: 64 | Binario: 0b1000000
Paso: 9 | Posición: 5 | Decimal: 32 | Binario: 0b100000
Paso: 10 | Posición: 4 | Decimal: 16 | Binario: 0b10000
Paso: 11 | Posición: 3 | Decimal: 8 | Binario: 0b1000
Paso: 12 | Posición: 2 | Decimal: 4 | Binario: 0b100
Paso: 13 | Posición: 1 | Decimal: 2 | Binario: 0b10
Paso: 14 | Posición: 0 | Decimal: 1 | Binario: 0b1
Paso: 15 | Posición: 1 | Decimal: 2 | Binario: 0b10
Paso: 16 | Posición: 2 | Decimal: 4 | Binario: 0b100
Paso: 17 | Posición: 3 | Decimal: 8 | Binario: 0b1000
Paso: 18 | Posición: 4 | Decimal: 16 | Binario: 0b10000
Paso: 19 | Posición: 5 | Decimal: 32 | Binario: 0b100000
Paso: 20 | Posición: 6 | Decimal: 64 | Binario: 0b1000000
Paso: 21 | Posición: 7 | Decimal: 128 | Binario: 0b10000000
Paso: 22 | Posición: 6 | Decimal: 64 | Binario: 0b1000000
Paso: 23 | Posición: 5 | Decimal: 32 | Binario: 0b100000
